epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7360653281211853,0.6660046577453613,1e-04,0.8743622303009033,0.27818968892097473
1,0.8638718724250793,0.3158828318119049,1e-04,0.9119898080825806,0.21661663055419922
2,0.9029675126075745,0.245345801115036,1e-04,0.9394132494926453,0.16377927362918854
3,0.9340555667877197,0.19250380992889404,1e-04,0.9547193646430969,0.12977911531925201
4,0.9464594125747681,0.1553640365600586,1e-04,0.9776785969734192,0.09428919851779938
5,0.9624744653701782,0.12636466324329376,1e-04,0.9764030575752258,0.08519198000431061
6,0.9637305736541748,0.10974684357643127,1e-04,0.9725765585899353,0.09833262860774994
7,0.9698539972305298,0.09381274878978729,1e-04,0.9827806353569031,0.06365718692541122
8,0.9706390500068665,0.08690699189901352,1e-04,0.9859693646430969,0.05841942876577377
9,0.9762914180755615,0.07714799791574478,1e-04,0.9846938848495483,0.06044059246778488
