epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4512482285499573,1.3341928720474243,1e-04,0.6275510191917419,0.9681035876274109
1,0.5861202478408813,0.9923069477081299,1e-04,0.6964285969734192,0.8223469257354736
2,0.6506515741348267,0.8608583807945251,1e-04,0.7793367505073547,0.7108344435691833
3,0.6943005323410034,0.7834993004798889,1e-04,0.827168345451355,0.620214581489563
4,0.7211493253707886,0.7140854597091675,1e-04,0.8386479616165161,0.5571717023849487
5,0.7558486461639404,0.6617044806480408,1e-04,0.8622449040412903,0.495416522026062
6,0.7759459614753723,0.6196789741516113,1e-04,0.8794642686843872,0.44893762469291687
7,0.7919610738754272,0.5622109770774841,1e-04,0.8820152878761292,0.41443559527397156
8,0.803108811378479,0.5368547439575195,1e-04,0.8960459232330322,0.37514811754226685
9,0.8169257044792175,0.5126389265060425,1e-04,0.9030612111091614,0.35682806372642517
