epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.619466245174408,0.9900926947593689,1e-04,0.7653061151504517,0.5770878791809082
1,0.8624804019927979,0.3975641131401062,1e-04,0.9119898080825806,0.23594123125076294
2,0.9098901152610779,0.2533746361732483,1e-04,0.9623724222183228,0.1255987137556076
3,0.9452119469642639,0.16979891061782837,1e-04,0.9713010191917419,0.09465821087360382
4,0.9546310901641846,0.13678908348083496,1e-04,0.9885203838348389,0.053728487342596054
5,0.9678179025650024,0.10020335763692856,1e-04,0.9891581535339355,0.041140973567962646
6,0.9744113087654114,0.07633093744516373,1e-04,0.9859693646430969,0.04145291820168495
7,0.9832025170326233,0.05551780015230179,1e-04,0.9872449040412903,0.04529586061835289
8,0.981632649898529,0.06038907915353775,1e-04,0.9897959232330322,0.027749238535761833
9,0.9868131875991821,0.04411028325557709,1e-04,0.9904336929321289,0.024971483275294304
