epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2808477282524109,1.5594561100006104,1e-04,0.39540815353393555,1.3661916255950928
1,0.41240188479423523,1.337029218673706,1e-04,0.519132673740387,1.1529549360275269
2,0.5020408034324646,1.1930302381515503,1e-04,0.6505101919174194,1.006912112236023
3,0.5649921298027039,1.0855886936187744,1e-04,0.7002550959587097,0.9132327437400818
4,0.5957613587379456,1.0164155960083008,1e-04,0.7059949040412903,0.8448750376701355
5,0.6281004548072815,0.9539134502410889,1e-04,0.7225765585899353,0.7920359969139099
6,0.6530612111091614,0.9028162360191345,1e-04,0.7359693646430969,0.7522591352462769
7,0.6596546173095703,0.8754298686981201,1e-04,0.7474489808082581,0.7138844728469849
8,0.6753532290458679,0.8396127223968506,1e-04,0.7557398080825806,0.6837826371192932
9,0.6896389126777649,0.810195803642273,1e-04,0.7602040767669678,0.6594660878181458
